danceability,track_genre,valence,track_name
0.676,acoustic,0.715,Comedy
0.42,acoustic,0.267,Ghost - Acoustic
0.266,acoustic,0.143,Can't Help Falling In Love
0.688,acoustic,0.666,Days I Will Remember
0.407,acoustic,0.0765,Say Something
0.703,acoustic,0.712,I'm Yours
0.625,acoustic,0.669,Lucky
0.442,acoustic,0.196,Hunger
0.627,acoustic,0.301,Give Me Your Forever
0.489,acoustic,0.607,Solo
0.691,acoustic,0.209,Bad Liar
0.755,acoustic,0.387,Hold On - Remix
0.489,acoustic,0.238,Falling in Love at a Coffee Shop
0.795,acoustic,0.609,At My Worst
0.625,acoustic,0.669,Lucky
0.717,acoustic,0.322,Photograph
0.703,acoustic,0.712,I'm Yours
0.678,acoustic,0.569,Demons
0.572,acoustic,0.515,93 Million Miles
0.796,acoustic,0.754,Unlonely
0.62,acoustic,0.664,Winter Wonderland
0.633,acoustic,0.52,If It Kills Me
0.62,acoustic,0.664,Winter Wonderland
0.62,acoustic,0.664,Winter Wonderland
0.62,acoustic,0.664,Winter Wonderland
0.62,acoustic,0.664,Winter Wonderland
0.296,acoustic,0.202,Party of One
0.296,acoustic,0.202,Party of One
0.296,acoustic,0.202,Party of One
0.409,acoustic,0.18,Lonely This Christmas
0.501,acoustic,0.316,Throwing Good After Bad
0.606,acoustic,0.414,This Time Tomorrow
0.409,acoustic,0.18,Lonely This Christmas
0.474,acoustic,0.326,The Haves
0.568,acoustic,0.142,When You're Wrong
0.568,acoustic,0.725,You and Me on the Rock
0.568,acoustic,0.725,You and Me on the Rock
0.476,acoustic,0.498,"Speak Your Mind (From the Netflix Series ""We The People"")"
0.568,acoustic,0.725,You and Me on the Rock
0.568,acoustic,0.725,You and Me on the Rock
0.596,acoustic,0.308,Trampoline - Acoustic
0.373,acoustic,0.56,透明だった世界
0.494,acoustic,0.298,Pieces
0.447,acoustic,0.564,A Drop in the Ocean
0.576,acoustic,0.407,So Far Away - Acoustic
0.536,acoustic,0.273,The Enemy
0.526,acoustic,0.159,Build It Better
0.501,acoustic,0.502,Sleepwalking in the Rain
0.27,acoustic,0.231,Gravity
0.375,acoustic,0.415,Pano
0.616,acoustic,0.435,And I Love Her
0.705,acoustic,0.36,We Can't Stop
0.582,acoustic,0.285,Always Be My Baby
0.549,acoustic,0.207,Alone with You
0.787,acoustic,0.48,Making All Things New
0.397,acoustic,0.172,She Used To Be Mine
0.548,acoustic,0.196,In My Veins - Feat. Erin Mccarley
0.787,acoustic,0.264,I Don't Wanna Live Forever (Fifty Shades Darker)
0.484,acoustic,0.346,A Drop In the Ocean
0.382,acoustic,0.125,Superman (It's Not Easy)
0.541,acoustic,0.428,When the End Comes
0.607,acoustic,0.54,You're Still The One
0.572,acoustic,0.515,93 Million Miles
0.709,acoustic,0.519,Kaleidoscope
0.537,acoustic,0.253,The Long Road
0.602,acoustic,0.335,What Would I Do Without You
0.643,acoustic,0.6,Have It All
0.451,acoustic,0.37,Heavy Heart
0.546,acoustic,0.202,The House We Never Built
0.561,acoustic,0.298,Society
0.479,acoustic,0.3,Please Don't Say You Love Me
0.479,acoustic,0.3,Please Don't Say You Love Me
0.436,acoustic,0.351,Guaranteed
0.551,acoustic,0.758,Brave
0.409,acoustic,0.18,Lonely This Christmas
0.409,acoustic,0.18,Lonely This Christmas
0.6,acoustic,0.392,Heaven Knows
0.492,acoustic,0.218,I Heard The Bells On Christmas Day
0.447,acoustic,0.33,Fairytale Of New York
0.492,acoustic,0.218,I Heard The Bells On Christmas Day
0.492,acoustic,0.218,I Heard The Bells On Christmas Day
0.492,acoustic,0.218,I Heard The Bells On Christmas Day
0.492,acoustic,0.218,I Heard The Bells On Christmas Day
0.492,acoustic,0.218,I Heard The Bells On Christmas Day
0.661,acoustic,0.805,Hold On
0.603,acoustic,0.693,Suddenly I See
0.626,acoustic,0.542,Rain
0.794,acoustic,0.617,Somebody Else - Acoustic
0.545,acoustic,0.683,Mirrors
0.728,acoustic,0.307,Stand by Me
0.357,acoustic,0.325,なんでもないや - movie ver.
0.479,acoustic,0.36,You’re Beautiful - Acoustic
0.7,acoustic,0.34,How To Lose a Girl
0.402,acoustic,0.148,Can’t Help Falling in Love
0.404,acoustic,0.29,Boston
0.633,acoustic,0.341,In Case You Didn’t Know
0.565,acoustic,0.601,death bed (coffee for your head)
0.664,acoustic,0.575,You Are My Sunshine
0.585,acoustic,0.142,I Won't Give Up
0.65,acoustic,0.21,I Was Born To Love You
0.534,acoustic,0.0998,Only Love Can Hurt Like This
0.409,acoustic,0.145,Do Not Let Me Go
0.502,acoustic,0.102,Holding On And Letting Go
0.496,acoustic,0.318,You Already Know
0.585,acoustic,0.333,Believer (Remix)
0.582,acoustic,0.294,Collide - Acoustic Version
